,game_name,platform,main_genre,develeoper,publisher,max_players,online_game,release_year,release_month,rating,meta_score,user_score,critic_positive_normelize,user_positive_normelize,exclusive_game,publisher_labeled,develeoper_labeled,main_genres_labeled,platform_labeled
6819,Strangeland,PC,General,Wormwood Studios,Wormwood Studios,1,0,2021,5,3,0.75,0.8191489361702129,0.6875,0.6363636363636364,1,1610,3304,5,34
6820,Portal Knights,"Nintendo, PlayStation, Xbox",Action,505 Games,505 Games,1,0,2017,5,2,0.7159090909090908,0.6879432624113475,0.5201465201465202,0.4813294826974717,0,30,59,0,18
6821,Need for Speed Carbon,"PlayStation, Wii, Xbox",Arcade,EA Canada,EA Games,8,1,2006,10,2,0.7045454545454545,0.75,0.4532485058800848,0.6414014278277683,0,419,861,3,44
6822,Champions: Return to Arms,PlayStation,Role-Playing,Snowblind Studios,Sony Online Entertainment,4,1,2005,2,3,0.75,0.8404255319148937,0.7083333333333334,0.7678571428571429,1,1331,2695,9,42
6823,XCOM: Chimera Squad,PC,Strategy,Firaxis Games,2K Games,1,0,2020,4,3,0.75,0.46808510638297884,0.7567567567567568,0.296875,1,15,994,14,34
6824,Buzz! The Hollywood Quiz,PlayStation,Miscellaneous,Relentless Software,SCEA,8,1,2008,3,3,0.75,0.7659574468085107,0.6363636363636364,0.5,1,1230,2415,6,42
6825,Panzer Paladin,Nintendo,Action,Tribute Games,Tribute Games,1,0,2020,7,2,0.75,0.723404255319149,0.7142857142857143,0.6666666666666666,1,1505,3070,0,0
6826,Second Sight,"Old Platform, PC, PlayStation",Action Adventure,Free Radical Design,Codemasters,1,0,2004,9,3,0.7310606060606061,0.7907801418439718,0.6154110767113863,0.6869808970099669,0,287,1046,1,24
6827,Endless Space,PC,General,Amplitude Studios,Amplitude Studios,1,1,2012,7,3,0.75,0.7553191489361704,0.75,0.6099290780141844,1,80,146,5,34
6828,Costume Quest,"PlayStation, Xbox",Role-Playing,Double Fine Productions,THQ,1,0,2010,10,2,0.7329545454545454,0.8351063829787235,0.6666666666666667,0.7392094502498864,0,1409,825,9,45
6829,A Case of Distrust,PC,General,The Wandering Ben,Serenity Forge,1,0,2018,2,3,0.75,0.5638297872340426,0.5454545454545454,0.16666666666666666,1,1277,2985,5,34
6830,Batman: The Enemy Within - Episode 4: What Ails You,"PC, PlayStation",Adventure,Telltale Games,Telltale Games,1,0,2018,1,3,0.75,0.7287234042553192,0.7046783625730995,0.5825892857142857,0,1434,2938,2,35
6831,Zombie Army 4: Dead War,"PC, Xbox",Action,Rebellion,Rebellion,4,1,2019,8,4,0.7329545454545454,0.5372340425531916,0.5695652173913044,0.4090761223162004,0,1173,2383,0,41
6832,Tom Clancy's EndWar,"PC, PlayStation, Xbox",Strategy,Ubisoft Shanghai,Ubisoft,4,1,2008,11,3,0.6818181818181818,0.7269503546099291,0.36904761904761907,0.5976629035452564,0,1524,3128,14,38
6833,Timelie,PC,Action Adventure,Urnique Studio,Urnique Studio,1,0,2020,5,3,0.75,0.7659574468085107,0.5,0.6842105263157895,1,1538,3155,1,34
6834,Kathy Rain,PC,Adventure,Clifftop Games,Raw Fury,1,0,2016,5,3,0.75,0.7872340425531916,0.7083333333333334,0.6595744680851063,1,1170,576,2,34
6835,Lost Orbit,PlayStation,Action,PixelNAUTS,PixelNAUTS,1,0,2015,5,3,0.75,0.723404255319149,0.7368421052631579,0.6086956521739131,1,1098,2204,0,42
6836,Exit,PlayStation,General,Taito Corporation,Ubisoft,24,1,2006,2,1,0.75,0.8191489361702129,0.6944444444444444,0.6818181818181818,1,1524,2901,5,42
6837,Pocky & Rocky Reshrined,PlayStation,Action,NATSUME ATARI Inc.,Natsume,1,0,2022,6,2,0.75,0.7045252370159223,0.75,0.6579626660543807,1,956,1912,0,42
6838,Guilty Gear XX Accent Core,PlayStation,Action,Arc System Works,Aksys Games,2,0,2007,9,3,0.75,0.8617021276595747,0.7777777777777778,0.8571428571428571,1,65,179,0,42
6839,NHL Eastside Hockey Manager,PC,Sim,Sports Interactive,Sega,32,1,2004,10,1,0.75,0.7021276595744682,0.5714285714285714,0.6363636363636364,1,1272,2748,11,34
6840,Final Fantasy XI: Chains of Promathia,"PC, PlayStation",Role-Playing,Square Enix,Square Enix,1,0,2004,9,3,0.7272727272727273,0.8670212765957448,0.6923076923076923,0.8380952380952381,0,1354,2756,9,35
6841,F-Zero GP Legend,Nintendo,Racing,Suzak,Nintendo,4,1,2004,9,1,0.75,0.8510638297872343,0.7096774193548387,0.8275862068965517,1,983,2864,8,0
6842,All-Star Baseball 2002,PlayStation,Sim,Acclaim Studios Austin,Acclaim,4,1,2001,3,1,0.75,0.7765957446808511,0.625,0.625,1,49,91,11,42
6843,Starfleet Command Volume II: Empires at War,PC,General,Taldren,Interplay,6,1,2000,12,1,0.75,0.6595744680851064,0.5625,0.375,1,731,2906,5,34
6844,Demolition Racer: No Exit,Old Platform,Driving,Pitbull Syndicate,Infogrames,2,0,2000,10,1,0.75,0.8936170212765958,0.5789473684210527,0.9583333333333334,0,722,2193,4,22
