,game_name,platform,main_genre,develeoper,publisher,max_players,online_game,release_year,release_month,rating,meta_score,user_score,critic_positive_normelize,user_positive_normelize,exclusive_game,publisher_labeled,develeoper_labeled,main_genres_labeled,platform_labeled
5190,Sam & Max Episode 105: Reality 2.0,PC,General,Telltale Games,GameTap,1,0,2007,3,3,0.8068181818181819,0.7553191489361704,0.8695652173913043,0.6956521739130435,1,372,1873,5,31
5191,Ruiner,Nintendo,Action,Reikon Games,Devolver Digital,1,0,2020,6,4,0.8068181818181819,0.797872340425532,1.0,0.65,1,247,1538,0,0
5192,One Step From Eden,PC,Strategy,Thomas Moon Kang,Thomas Moon Kang,1,1,2020,3,3,0.8068181818181819,0.872340425531915,0.7777777777777778,0.8181818181818182,1,914,1905,14,31
5193,Blazing Chrome,Xbox,Action,JoyMasher,The Arcade Crew,2,0,2019,7,3,0.8068181818181819,0.8085106382978725,0.875,0.7777777777777778,1,902,969,0,45
5194,Operencia: The Stolen Sun,"Nintendo, Xbox",Role-Playing,Zen Studios,Zen Studios,1,0,2019,3,3,0.8011363636363638,0.7606382978723405,0.8708333333333333,0.7380952380952381,0,1024,2134,9,19
5195,NHL 19,Xbox,Sim,EA Sports,Electronic Arts,12,1,2018,9,2,0.8068181818181819,0.6170212765957448,0.95,0.4838709677419355,1,290,564,11,45
5196,Bejeweled 3,PC,Miscellaneous,PopCap,PopCap,1,0,2010,12,1,0.8068181818181819,0.797872340425532,0.9259259259259259,0.7372881355932204,1,716,1451,6,31
5197,Dangerous Waters,PC,Simulation,Sonalysts,Strategy First,32,1,2005,2,3,0.8068181818181819,0.872340425531915,0.7916666666666666,0.8709677419354839,1,852,1720,12,31
5198,Iron Brigade,Xbox,Action,Double Fine Productions,Microsoft Game Studios,1,0,2011,6,3,0.8068181818181819,0.8617021276595747,0.8837209302325582,0.8111111111111111,1,577,531,0,45
5199,Asheron's Call 2: Fallen Kings,PC,Role-Playing,Turbine Inc.,Microsoft Game Studios,1,0,2002,11,4,0.8068181818181819,0.7340425531914895,0.8181818181818182,0.6363636363636364,1,577,1965,9,31
