,game_name,platform,genres,develeoper,publisher,max_players,online_game,release_year,release_month,rating,meta_score,user_score,critic_positive_normelize,user_positive_normelize,exclusive_game,publisher_labeled,develeoper_labeled,genres_labeled,platform_labeled
3919,Emperor: Rise of the Middle Kingdom,PC,"City Building, Government, Historic, Historic, Management, Strategy",BreakAway Games,Sierra Entertainment,8,1,2002,9,1,0.75,0.797872340425532,0.5333333333333333,0.7435897435897436,1,1490,496,1311,39
3920,NFL Blitz 20-02,"Nintendo, Old Platform, PlayStation, Xbox","Arcade, Football, Sports, Traditional",Point of View,Midway,0,0,2001,9,1,0.6335227272727273,0.7568374981188628,0.5708556149732621,0.8200509929085196,0,1032,2542,1172,9
3921,Kinetica,PlayStation,"Driving, Futuristic, Racing",SCE Santa Monica,SCEA,2,0,2001,10,3,0.75,0.8617021276595747,0.7142857142857143,0.8181818181818182,1,1428,2825,1425,47
3922,Ground Control: Dark Conspiracy,PC,"General, Real-Time, Sci-Fi, Sci-Fi, Strategy",High Voltage Software,Sierra Entertainment,8,1,2000,12,3,0.75,0.6808510638297873,0.7142857142857143,0.6566745598693725,1,1490,1473,1602,39
3923,Birds of Steel,"PlayStation, Xbox","Combat, Flight, Simulation, WWII, WWII",Gaijin Entertainment,Konami,0,0,2012,3,3,0.7272727272727273,0.845744680851064,0.6296296296296297,0.7320574162679425,0,915,1252,1352,50
3924,The Walking Dead: The Telltale Series - The Final Season Episode 4: Take Us Back,"PC, PlayStation","Adventure, Point-and-Click",Telltale Games,Telltale Games,0,0,2019,3,3,0.7386363636363636,0.7819148936170215,0.6833333333333333,0.7386363636363636,0,1659,3312,1062,40
3925,Call of Cthulhu: Dark Corners of the Earth,"PC, Xbox","Action Adventure, Horror",Headfirst Productions,2K Games,1,0,2005,10,4,0.7443181818181819,0.8085106382978724,0.6568627450980392,0.7403549042111768,0,17,1437,447,46
3926,Orcs Must Die! 3,PC,"Defense, Real-Time, Strategy",Robot Entertainment,Robot Entertainment,2,0,2021,7,3,0.75,0.6914893617021277,0.7,0.5238095238095238,1,1410,2769,1421,39
3927,Need for Speed Unbound,"PC, PlayStation, Xbox","Arcade, Automobile, Racing",Criterion Games,Electronic Arts,16,1,2022,11,3,0.7348484848484849,0.5851063829787235,0.6593155272400556,0.5191231197423148,0,515,753,1151,43
3928,NBA Live 09,"PlayStation, Xbox","Basketball, Sim, Sim, Sports, Team, Traditional",EA Canada,EA Sports,10,1,2008,10,1,0.7386363636363636,0.7819148936170214,0.796875,0.6333333333333333,0,498,975,1226,50
