,game_name,platform,genres,develeoper,publisher,max_players,online_game,release_year,release_month,rating,meta_score,user_score,critic_positive_normelize,user_positive_normelize,exclusive_game,publisher_labeled,develeoper_labeled,genres_labeled,platform_labeled
5226,Kingdom,PC,"action, general",Thomas van den Berg,Thomas van den Berg,0,0,2015,10,3,0.7159090909090909,0.7765957446808511,0.5294117647058824,0.5977011494252874,1,1579,3121,629,39
5227,Dead Rising 2: Case West,Xbox,"action adventure, horror, survival",Blue Castle Games,Capcom,0,0,2010,12,4,0.7159090909090909,0.6914893617021277,0.5897435897435898,0.5,1,267,411,316,53
5228,Onimusha: Warlords,"Nintendo, PC, PlayStation, Xbox","action adventure, general",Capcom,Capcom,0,0,2019,1,4,0.6846590909090909,0.6781914893617021,0.418245106148332,0.5604844440898729,0,267,518,275,15
5229,Super Monkey Ball: Banana Blitz,Wii,"miscellaneous, party, party / minigame",Sega,Sega,0,0,2006,11,1,0.7159090909090909,0.5851063829787235,0.6037735849056604,0.3522727272727273,1,1373,2685,1250,51
5230,void tRrLM(); //Void Terrarium,Nintendo,"roguelike, role-playing",Nippon Ichi Software,NIS America,0,0,2020,7,3,0.7159090909090909,0.7127659574468086,0.5454545454545454,0.6666666666666666,1,1036,2081,1273,0
5231,Alder's Blood,Nintendo,"strategy, tactics, turn-based",Shockwork Games,No Gravity Games,0,0,2020,3,3,0.7159090909090909,0.7553191489361704,0.5833333333333334,0.6538461538461539,1,1076,2721,1293,0
5232,Blackguards 2,PC,"fantasy, strategy, tactics, turn-based",Daedalic Entertainment,Daedalic Entertainment,0,0,2015,1,3,0.7159090909090909,0.7446808510638299,0.5416666666666666,0.6043956043956044,1,384,744,1100,39
5233,Insurgency,PC,"action, first-person, modern, shooter, tactical",New World Interactive,New World Interactive,0,0,2013,3,3,0.7159090909090909,0.872340425531915,0.75,0.8178963893249608,1,1059,2050,618,39
5234,Disgaea D2: A Brighter Darkness,PlayStation,"fantasy, strategy, tactics, turn-based",Nippon Ichi Software,NIS America,0,0,2013,10,3,0.7159090909090909,0.7765957446808511,0.6486486486486487,0.7183098591549296,1,1036,2081,1100,47
5235,Monster Energy Supercross - The Official Videogame 3,"PlayStation, Xbox","arcade, automobile, racing",Milestone S.r.l,Milestone S.r.l,12,1,2020,2,1,0.6931818181818182,0.6010638297872342,0.44360902255639095,0.33294930875576034,0,973,1896,839,50
5236,Paper Monsters Recut,Wii,"2d, action, platformer",Mobot Studios LLC,Mobot Studios LLC,0,0,2014,10,1,0.7159090909090909,0.8191489361702129,0.5714285714285714,0.5555555555555556,1,987,1928,61,51
5237,Fat Princess: Fistful of Cake,PlayStation,"action, general, real-time, strategy",SuperVillain Studios,SCEA,8,1,2010,5,3,0.7159090909090909,0.8617021276595747,0.6060606060606061,0.8333333333333334,1,1332,2966,660,47
5238,Need for Speed Heat,"PC, PlayStation, Xbox","arcade, automobile, racing",Ghost Games,Electronic Arts,16,1,2019,11,3,0.7007575757575758,0.6134751773049646,0.47413269685740006,0.4762296365914787,0,485,1222,839,43
5239,Resonance of Fate,"PlayStation, Xbox","console-style rpg, japanese-style, role-playing",Tri-Ace,Sega,0,0,2010,3,3,0.7045454545454546,0.8031914893617023,0.575858250276855,0.7538772389689821,0,1373,3193,1042,50
5240,Formula One Championship Edition,PlayStation,"automobile, driving, formula one, racing, simulation",Studio Liverpool,SCEA,10,1,2007,2,1,0.7159090909090909,0.8404255319148937,0.5818181818181818,0.8309859154929577,1,1332,2931,888,47
5241,Mighty Goose,"Nintendo, PC","2d, action, platformer",Blastmode,Playism,0,0,2021,6,2,0.6988636363636365,0.7553191489361704,0.7285714285714285,0.5192307692307692,0,1209,391,61,11
5242,GRIP: Combat Racing,"Nintendo, PC, PlayStation, Xbox","arcade, automobile, racing",Caged Element Inc.,Caged Element Inc.,0,1,2018,11,2,0.6505681818181819,0.61968085106383,0.35734126984126985,0.44498556998556993,0,262,507,839,15
5243,Space Pirates and Zombies,PC,"adventure, general",MinMax Games Ltd.,MinMax Games Ltd.,0,0,2011,6,3,0.7159090909090909,0.7765957446808511,0.5,0.6153846153846154,1,975,1903,745,39
5244,Runaway: A Road Adventure,PC,"3d, adventure, modern, third-person",Pendulo Studios,Tri Synergy,0,0,2003,8,3,0.7159090909090909,0.797872340425532,0.7368421052631579,0.6354166666666666,1,1615,2253,191,39
